filename,frame_no,annotation,class_id,conf
/data/api/01642003.mp4,15,"[1.0, 289.0, 116.0, 420.0]",3.0,0.06788206845521927
/data/api/01642003.mp4,21,"[0.0, 318.0, 124.0, 459.0]",3.0,0.1326596885919571
/data/api/01642003.mp4,22,"[1.0, 317.0, 124.0, 458.0]",3.0,0.05825413018465042
/data/api/01642003.mp4,190,"[1185.0, 355.0, 1280.0, 652.0]",1.0,0.1211233139038086
/data/api/01642003.mp4,191,"[1198.0, 356.0, 1280.0, 651.0]",1.0,0.09409124404191971
/data/api/01642003.mp4,229,"[0.0, 139.0, 90.0, 620.0]",1.0,0.2832714021205902
/data/api/01642003.mp4,415,"[0.0, 204.0, 69.0, 573.0]",1.0,0.052590109407901764
/data/api/01642003.mp4,548,"[0.0, 167.0, 70.0, 509.0]",1.0,0.08278032392263412
/data/api/01642003.mp4,549,"[0.0, 176.0, 52.0, 452.0]",1.0,0.1477849781513214
/data/api/01642003.mp4,551,"[0.0, 217.0, 56.0, 465.0]",1.0,0.20102792978286743
/data/api/01642003.mp4,555,"[0.0, 248.0, 90.0, 466.0]",1.0,0.11018691211938858
/data/api/01642003.mp4,587,"[1232.0, 449.0, 1280.0, 710.0]",1.0,0.1251356154680252
/data/api/01642003.mp4,588,"[1224.0, 478.0, 1280.0, 720.0]",1.0,0.06082035228610039
/data/api/01642003.mp4,589,"[1202.0, 508.0, 1280.0, 720.0]",1.0,0.341990202665329
/data/api/01642003.mp4,590,"[1187.0, 534.0, 1280.0, 720.0]",1.0,0.06983618438243866
/data/api/01642003.mp4,593,"[1247.0, 500.0, 1280.0, 702.0]",1.0,0.05203602463006973
/data/api/01642003.mp4,659,"[0.0, 347.0, 48.0, 583.0]",1.0,0.14000090956687927
/data/api/01642003.mp4,660,"[0.0, 310.0, 48.0, 574.0]",1.0,0.3634074330329895
/data/api/01642003.mp4,676,"[1.0, 0.0, 150.0, 83.0]",3.0,0.09740039706230164
/data/api/01642003.mp4,701,"[0.0, 329.0, 76.0, 675.0]",1.0,0.07443926483392715
/data/api/01642003.mp4,911,"[0.0, 295.0, 41.0, 589.0]",1.0,0.059218406677246094
/data/api/01642003.mp4,982,"[0.0, 182.0, 43.0, 421.0]",1.0,0.1302960216999054
/data/api/01642003.mp4,1032,"[0.0, 185.0, 47.0, 420.0]",1.0,0.056887466460466385
/data/api/01642003.mp4,1033,"[0.0, 177.0, 42.0, 431.0]",1.0,0.17801372706890106
/data/api/01642003.mp4,1039,"[0.0, 14.0, 68.0, 387.0]",1.0,0.053549639880657196
/data/api/01642003.mp4,1087,"[0.0, 0.0, 207.0, 57.0]",1.0,0.08215926587581635
/data/api/01642003.mp4,1090,"[1.0, 0.0, 201.0, 76.0]",1.0,0.11342740803956985
/data/api/01642003.mp4,1092,"[1.0, 0.0, 202.0, 76.0]",1.0,0.09075380861759186
/data/api/01642003.mp4,1097,"[3.0, 1.0, 205.0, 99.0]",1.0,0.09453992545604706
/data/api/01642003.mp4,1098,"[2.0, 0.0, 197.0, 100.0]",1.0,0.058501750230789185
/data/api/01642003.mp4,1099,"[3.0, 2.0, 202.0, 100.0]",1.0,0.27817121148109436
/data/api/01642003.mp4,1100,"[4.0, 0.0, 205.0, 106.0]",1.0,0.17759624123573303
/data/api/01642003.mp4,1101,"[0.0, 0.0, 203.0, 124.0]",1.0,0.051098015159368515
/data/api/01642003.mp4,1104,"[3.0, 2.0, 207.0, 127.0]",1.0,0.2325173020362854
/data/api/01642003.mp4,1106,"[3.0, 3.0, 205.0, 130.0]",1.0,0.13630717992782593
/data/api/01642003.mp4,1107,"[3.0, 2.0, 207.0, 132.0]",1.0,0.12457536160945892
/data/api/01642003.mp4,1108,"[4.0, 3.0, 205.0, 132.0]",1.0,0.24465765058994293
/data/api/01642003.mp4,1109,"[2.0, 6.0, 211.0, 138.0]",1.0,0.05907650664448738
/data/api/01642003.mp4,1110,"[3.0, 6.0, 211.0, 136.0]",1.0,0.06311497837305069
/data/api/01642003.mp4,1111,"[1.0, 0.0, 218.0, 133.0]",1.0,0.266915887594223
/data/api/01642003.mp4,1112,"[2.0, 5.0, 211.0, 135.0]",1.0,0.22097371518611908
/data/api/01642003.mp4,1113,"[2.0, 5.0, 239.0, 139.0]",1.0,0.20975813269615173
/data/api/01642003.mp4,1114,"[1.0, 6.0, 240.0, 144.0]",1.0,0.13960576057434082
/data/api/01642003.mp4,1115,"[0.0, 0.0, 224.0, 140.0]",1.0,0.3027292490005493
/data/api/01642003.mp4,1116,"[0.0, 6.0, 239.0, 148.0]",1.0,0.2714237868785858
/data/api/01642003.mp4,1118,"[4.0, 6.0, 234.0, 139.0]",1.0,0.43553102016448975
/data/api/01642003.mp4,1119,"[0.0, 1.0, 237.0, 142.0]",1.0,0.7244901061058044
/data/api/01642003.mp4,1120,"[4.0, 7.0, 237.0, 140.0]",1.0,0.501193106174469
/data/api/01642003.mp4,1121,"[0.0, 0.0, 240.0, 140.0]",1.0,0.42643672227859497
/data/api/01642003.mp4,1122,"[0.0, 0.0, 250.0, 141.0]",1.0,0.5187957286834717
/data/api/01642003.mp4,1123,"[13.0, 8.0, 248.0, 147.0]",1.0,0.3473657965660095
/data/api/01642003.mp4,1124,"[15.0, 6.0, 247.0, 146.0]",1.0,0.6760663390159607
/data/api/01642003.mp4,1125,"[14.0, 6.0, 246.0, 142.0]",1.0,0.29624420404434204
/data/api/01642003.mp4,1126,"[0.0, 0.0, 252.0, 140.0]",1.0,0.615997314453125
/data/api/01642003.mp4,1127,"[0.0, 0.0, 256.0, 141.0]",1.0,0.43947499990463257
/data/api/01642003.mp4,1128,"[0.0, 0.0, 256.0, 144.0]",1.0,0.510563313961029
/data/api/01642003.mp4,1129,"[0.0, 0.0, 256.0, 139.0]",1.0,0.6431593894958496
/data/api/01642003.mp4,1130,"[0.0, 0.0, 270.0, 141.0]",1.0,0.7579469084739685
/data/api/01642003.mp4,1131,"[0.0, 0.0, 270.0, 139.0]",1.0,0.5748953223228455
/data/api/01642003.mp4,1132,"[0.0, 0.0, 270.0, 137.0]",1.0,0.6830314993858337
/data/api/01642003.mp4,1133,"[0.0, 0.0, 314.0, 131.0]",1.0,0.44507694244384766
/data/api/01642003.mp4,1134,"[0.0, 0.0, 304.0, 134.0]",1.0,0.526387095451355
/data/api/01642003.mp4,1135,"[0.0, 0.0, 292.0, 134.0]",1.0,0.5945741534233093
/data/api/01642003.mp4,1136,"[0.0, 0.0, 287.0, 133.0]",1.0,0.4226604998111725
/data/api/01642003.mp4,1137,"[0.0, 0.0, 280.0, 135.0]",1.0,0.8509339690208435
/data/api/01642003.mp4,1138,"[0.0, 0.0, 289.0, 134.0]",1.0,0.7356134057044983
/data/api/01642003.mp4,1139,"[0.0, 0.0, 289.0, 130.0]",1.0,0.20737478137016296
/data/api/01642003.mp4,1140,"[0.0, 0.0, 287.0, 131.0]",1.0,0.666652500629425
/data/api/01642003.mp4,1141,"[0.0, 0.0, 285.0, 129.0]",1.0,0.7568449974060059
/data/api/01642003.mp4,1142,"[0.0, 0.0, 282.0, 127.0]",1.0,0.8936024308204651
/data/api/01642003.mp4,1143,"[0.0, 0.0, 284.0, 130.0]",1.0,0.8026151657104492
/data/api/01642003.mp4,1144,"[0.0, 0.0, 296.0, 130.0]",1.0,0.7507933974266052
/data/api/01642003.mp4,1145,"[0.0, 0.0, 295.0, 126.0]",1.0,0.7730803489685059
/data/api/01642003.mp4,1146,"[0.0, 0.0, 295.0, 129.0]",1.0,0.8732240200042725
/data/api/01642003.mp4,1147,"[0.0, 0.0, 306.0, 126.0]",1.0,0.6718395948410034
/data/api/01642003.mp4,1148,"[0.0, 0.0, 303.0, 127.0]",1.0,0.7413153052330017
/data/api/01642003.mp4,1149,"[0.0, 0.0, 310.0, 128.0]",1.0,0.6620227098464966
/data/api/01642003.mp4,1150,"[0.0, 0.0, 310.0, 125.0]",1.0,0.7364392280578613
/data/api/01642003.mp4,1151,"[0.0, 0.0, 312.0, 119.0]",1.0,0.5480732917785645
/data/api/01642003.mp4,1152,"[0.0, 0.0, 306.0, 123.0]",1.0,0.6779276728630066
/data/api/01642003.mp4,1153,"[0.0, 0.0, 310.0, 126.0]",1.0,0.7426304817199707
/data/api/01642003.mp4,1154,"[0.0, 0.0, 306.0, 118.0]",1.0,0.5500169396400452
/data/api/01642003.mp4,1155,"[0.0, 0.0, 313.0, 120.0]",1.0,0.554955244064331
/data/api/01642003.mp4,1156,"[0.0, 0.0, 318.0, 119.0]",1.0,0.694940984249115
/data/api/01642003.mp4,1157,"[0.0, 0.0, 317.0, 117.0]",1.0,0.46749669313430786
/data/api/01642003.mp4,1158,"[0.0, 0.0, 314.0, 117.0]",1.0,0.7082071304321289
/data/api/01642003.mp4,1159,"[0.0, 0.0, 321.0, 123.0]",1.0,0.777046799659729
/data/api/01642003.mp4,1160,"[0.0, 0.0, 326.0, 116.0]",1.0,0.6685029864311218
/data/api/01642003.mp4,1161,"[0.0, 0.0, 327.0, 115.0]",1.0,0.5855176448822021
/data/api/01642003.mp4,1162,"[0.0, 0.0, 329.0, 116.0]",1.0,0.5656067728996277
/data/api/01642003.mp4,1163,"[0.0, 0.0, 345.0, 115.0]",1.0,0.7004590630531311
/data/api/01642003.mp4,1164,"[0.0, 0.0, 339.0, 117.0]",1.0,0.7291948795318604
/data/api/01642003.mp4,1165,"[0.0, 0.0, 347.0, 116.0]",1.0,0.7784329652786255
